::1 - - [31/May/2025:20:15:50 +0000] "POST /api/auth/register HTTP/1.1" 201 57 "-" "insomnia/11.1.0"
::1 - - [31/May/2025:20:15:55 +0000] "POST /api/auth/login HTTP/1.1" 200 325 "-" "insomnia/11.1.0"
::1 - - [31/May/2025:20:17:31 +0000] "POST /api/category HTTP/1.1" 400 58 "-" "insomnia/11.1.0"
::1 - - [31/May/2025:20:17:42 +0000] "POST /api/category HTTP/1.1" 201 480 "-" "insomnia/11.1.0"
::1 - - [31/May/2025:20:17:54 +0000] "GET /api/categories HTTP/1.1" 200 880 "-" "insomnia/11.1.0"
::1 - - [01/Jun/2025:08:26:29 +0000] "GET /api/categories HTTP/1.1" 200 880 "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [01/Jun/2025:08:26:38 +0000] "GET /api/categories HTTP/1.1" 200 880 "-" "axios/1.9.0"
::ffff:127.0.0.1 - - [01/Jun/2025:08:26:38 +0000] "GET /api/dresses/category/683b63e6f05e06cf167c616c HTTP/1.1" 200 142 "-" "axios/1.9.0"
::1 - - [01/Jun/2025:08:26:40 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
::1 - - [01/Jun/2025:08:32:28 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
::1 - - [01/Jun/2025:08:32:40 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
::1 - - [01/Jun/2025:08:32:53 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [01/Jun/2025:08:33:02 +0000] "GET /api/categories HTTP/1.1" 200 880 "-" "axios/1.9.0"
::ffff:127.0.0.1 - - [01/Jun/2025:08:33:02 +0000] "GET /api/dresses/category/683b6055684f2b759a6c94b9 HTTP/1.1" 200 164 "-" "axios/1.9.0"
::1 - - [01/Jun/2025:08:33:04 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
::1 - - [01/Jun/2025:08:34:48 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
::1 - - [01/Jun/2025:08:37:17 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
::1 - - [01/Jun/2025:08:40:35 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
::1 - - [01/Jun/2025:09:35:19 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
::ffff:127.0.0.1 - - [01/Jun/2025:17:16:10 +0000] "GET /api/categories HTTP/1.1" 200 880 "-" "axios/1.9.0"
::ffff:127.0.0.1 - - [01/Jun/2025:17:16:11 +0000] "GET /api/dresses/category/683b63e6f05e06cf167c616c HTTP/1.1" 200 142 "-" "axios/1.9.0"
::1 - - [01/Jun/2025:17:16:12 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
::1 - - [01/Jun/2025:17:17:31 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
::1 - - [01/Jun/2025:17:23:28 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
::1 - - [01/Jun/2025:17:23:50 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
::1 - - [01/Jun/2025:17:23:56 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
::1 - - [01/Jun/2025:17:26:01 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
::1 - - [01/Jun/2025:17:26:53 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
::1 - - [01/Jun/2025:17:28:17 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
::1 - - [01/Jun/2025:17:31:33 +0000] "GET /api/categories HTTP/1.1" 304 - "http://localhost:3000/" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
